sto,x,y,wald,wald_max,versiegelt
2537,4316732.370956365,3161373.055707045,8.78403377532959,65,56.90850830078125
2538,4316832.396308982,3161371.687963432,18.925235748291016,59,36.20442581176758
2539,4316932.421645883,3161370.3202238954,4.578073501586914,46,55.09476089477539
2540,4317032.446967035,3161368.9524884424,8.370401382446289,55,51.90372848510742
2541,4317132.472272409,3161367.5847570715,2.1059956550598145,49,65.15689849853516
2542,4317232.497561975,3161366.217029782,45.40334701538086,78,5.235499382019043
2543,4317332.522835702,3161364.8493065774,3.983772039413452,68,0.2915494740009308
2544,4317432.548093557,3161363.4815874505,14.100777626037598,68,1.7772881984710693
2545,4317532.5733355135,3161362.113872409,25.758073806762695,76,5.577606678009033
2546,4317632.598561538,3161360.7461614516,25.745222091674805,80,16.97223663330078
2547,4317732.6237716,3161359.3784545776,24.491138458251953,83,0.8900051712989807
2548,4317832.648965668,3161358.0107517866,62.99676513671875,90,4.273225784301758
2549,4317932.674143715,3161356.6430530795,60.486595153808594,90,3.7835683822631836
2550,4318032.699305707,3161355.2753584585,10.289780616760254,84,15.007410049438477
2551,4318132.724451612,3161353.9076679237,12.939119338989258,83,4.817501544952393
2552,4318232.749581403,3161352.5399814746,80.30150604248047,98,0
2553,4318332.774695047,3161351.1722991103,80.29984283447266,100,0
2554,4318432.799792515,3161349.804620834,90.7679672241211,100,0
2555,4318532.824873774,3161348.4369466426,93.4500503540039,100,0
2556,4318632.849938796,3161347.0692765405,92.16532135009766,100,0
2557,4318732.874987547,3161345.701610527,90.29127502441406,100,0
2558,4318832.9000200005,3161344.3339486,71.78687286376953,98,5.172183513641357
2559,4318932.925036122,3161342.9662907626,19.58553123474121,95,60.111724853515625
2560,4319032.950035883,3161341.5986370146,20.29776382446289,86,42.903202056884766
2561,4319132.975019252,3161340.230987355,80.97455596923828,92,0.08981239050626755
2562,4319232.9999862,3161338.8633417874,29.77019500732422,93,35.80657196044922
2563,4319333.024936694,3161337.4957003105,12.560066223144531,57,44.99081039428711
2564,4319433.049870701,3161336.1280629206,5.099715709686279,47,69.95855712890625
2565,4319533.074788198,3161334.7604296245,2.2753238677978516,41,62.79954147338867
2566,4319633.099689146,3161333.392800423,3.97210431098938,47,45.55968475341797
2567,4319733.12457352,3161332.0251753093,10.407772064208984,55,59.20407485961914
2568,4319833.149441287,3161330.6575542884,17.672727584838867,72,51.48413848876953
2569,4319933.174292416,3161329.2899373616,24.47348403930664,72,32.35792922973633
2570,4320033.199126877,3161327.9223245275,20.99105453491211,62,35.31572341918945
2571,4320133.223944641,3161326.554715787,10.686907768249512,62,35.064910888671875
2572,4320233.248745674,3161325.18711114,19.967607498168945,86,9.781340599060059
2573,4320333.273529947,3161323.8195105894,49.10103988647461,93,0
2574,4320433.298297429,3161322.451914134,76.07896423339844,96,0
2575,4320533.32304809,3161321.0843217713,2.0630812644958496,67,0
2576,4320633.3477819,3161319.7167335073,1.7009851932525635,66,0
2577,4320733.372498825,3161318.349149341,4.469171047210693,67,0
2578,4320833.397198835,3161316.9815692683,2.324080467224121,58,0
2579,4320933.421881905,3161315.613993292,1.0846214294433594,65,0
2580,4321033.446547998,3161314.2464214135,1.173880696296692,61,0
2581,4321133.4711970845,3161312.8788536317,0,0,0
2582,4321233.495829136,3161311.511289953,0,0,0
2583,4321333.520444119,3161310.143730369,0,0,0
2584,4321433.545042005,3161308.7761748857,0.01973602920770645,36,0.22491927444934845
2585,4321533.5696227625,3161307.4086235035,10.36699390411377,63,14.67194652557373
2586,4321633.594186363,3161306.041076219,49.272029876708984,87,9.444878578186035
2587,4321733.618732772,3161304.673533034,29.05948257446289,81,0
2588,4321833.643261961,3161303.3059939514,0,0,0
2589,4321933.667773898,3161301.9384589694,0,0,0
2590,4322033.692268551,3161300.5709280856,0,0,0
2591,4322133.716745894,3161299.203401306,0,0,0
2592,4322233.741205893,3161297.8358786325,0,0,0
2593,4322333.765648521,3161296.4683600613,25.75686264038086,94,0
2594,4322433.790073741,3161295.10084559,21.148508071899414,94,1.3305221796035767
2641,4312729.976631194,3161327.7425864763,2.800602436065674,57,36.14822006225586
2642,4312830.002588813,3161326.3746954654,1.2790937423706055,65,20.140121459960938
2643,4312930.028531945,3161325.006808537,0,0,48.44609069824219
2644,4313030.054460556,3161323.638925694,0.36973825097084045,37,10.444068908691406
2645,4313130.08037462,3161322.2710469314,2.2774229049682617,51,66.148040771484375
2646,4313230.106274099,3161320.9031722527,0,0,84.4544448852539
2647,4313330.132158968,3161319.5353016593,0.3317452371120453,43,84.62135314941406
2648,4313430.158029195,3161318.1674351464,6.6832966804504395,54,60.66216278076172
2649,4313530.18388475,3161316.7995727193,4.289971351623535,38,62.70246505737305
2650,4313630.209725602,3161315.431714382,2.528214931488037,56,63.627323150634766
